Price,Rooms & Living Space Details,Address
CHF 6’840.– / Monat,6.5 Zimmer 190m² Wohnfläche,"Limmatstrasse 258, 8005 Zürich"
CHF 8’850.– / Monat,11 Zimmer 240m² Wohnfläche,"Bergstrasse 76, 8032 Zürich"
CHF 4’500.– / Monat,4.5 Zimmer 173m² Wohnfläche,"Riedtlistrasse 9, 8006 Zürich"
CHF 7’880.– / Monat,9 Zimmer 180m² Wohnfläche,"Neptunstrasse 88, 8032 Zürich"
CHF 3’840.– / Monat,6.5 Zimmer 143m² Wohnfläche,"Im Glockenacker 59, 8053 Zürich"
CHF 9’150.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Zollikerstrasse 147, 8008 Zürich"
CHF 4’340.– / Monat,4.5 Zimmer 152m² Wohnfläche,"Badenerstrasse 841, 8048 Zürich"
CHF 10’960.– / Monat,7.5 Zimmer 230m² Wohnfläche,"Stadelhoferstrasse 38, 8001 Zürich"
CHF 2’970.– / Monat,5 Zimmer 114m² Wohnfläche,"Speerstrasse 47, 8038 Zürich"
CHF 3’540.– / Monat,,"Freilagerstrasse 19, 8047 Zürich"
CHF 2’550.– / Monat,3.5 Zimmer 47m² Wohnfläche,"Herrligweg 9, 8048 Zürich"
CHF 9’740.– / Monat,8 Zimmer 150m² Wohnfläche,"Clausiusstrasse 60, 8006 Zürich"
CHF 7’360.– / Monat,7.5 Zimmer 180m² Wohnfläche,"Hofstrasse 53, 8032 Zürich"
CHF 9’820.– / Monat,7.5 Zimmer 210m² Wohnfläche,"Gotthardstrasse 53, 8002 Zürich"
Preis auf Anfrage,7.5 Zimmer 220m² Wohnfläche,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
CHF 8’850.– / Monat,7.5 Zimmer 220m² Wohnfläche,"Kurfirstenstrasse 16, 8002 Zürich"
CHF 4’130.– / Monat,4.5 Zimmer 116m² Wohnfläche,8053 Zürich
Preis auf Anfrage,7.5 Zimmer 210m² Wohnfläche,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
Preis auf Anfrage,7.5 Zimmer 210m² Wohnfläche,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
Preis auf Anfrage,7.5 Zimmer 210m² Wohnfläche,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
Preis auf Anfrage,7.5 Zimmer 210m² Wohnfläche,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
CHF 2’750.– / Monat,2 Zimmer 72m² Wohnfläche,"Sonneggstrasse 44, 8006 Zürich"
CHF 3’120.– / Monat,7.5 Zimmer 150m² Wohnfläche,"Balberstrasse 68, 8038 Zürich"
CHF 6’320.– / Monat,7.5 Zimmer,"Fortunagasse 34, Zürich, Schweiz, 8001 Zürich"
CHF 8’250.– / Monat,6.5 Zimmer 210m² Wohnfläche,"Limmatstrasse 260, 8005 Zürich"
CHF 3’840.– / Monat,5 Zimmer 121m² Wohnfläche,"Köchlistrasse 2, 8004 Zürich"
CHF 5’910.– / Monat,6.5 Zimmer 173m² Wohnfläche,"Asylstr. 11, 8032 Zürich"
CHF 5’910.– / Monat,6.5 Zimmer 173m² Wohnfläche,"Asylstr. 11, 8032 Zürich"
CHF 5’170.– / Monat,6 Zimmer 173m² Wohnfläche,8038 Zürich
CHF 5’700.– / Monat,3 Zimmer 127m² Wohnfläche,"Weinbergstrasse 46, 8006 Zürich"
CHF 2’640.– / Monat,3.5 Zimmer 100m² Wohnfläche,"Riedhofstrasse 378, 8049 Zürich"
CHF 7’360.– / Monat,7.5 Zimmer 260m² Wohnfläche,"Läufebachweg 5, 8047 Zürich"
CHF 11’160.– / Monat,7.5 Zimmer 250m² Wohnfläche,8053 Zürich
CHF 7’860.– / Monat,7.5 Zimmer 160m² Wohnfläche,8044 Zürich
CHF 3’540.– / Monat,2 Zimmer 123m² Wohnfläche,"Birchstrasse 98, 8050 Zürich"
CHF 6’700.– / Monat,6.5 Zimmer 135m² Wohnfläche,"Elisabethenstrasse 28, 8004 Zurich"
CHF 3’880.– / Monat,6 Zimmer 140m² Wohnfläche,"Renggerstrasse 57, 8038 Zürich"
CHF 3’990.– / Monat,4.5 Zimmer 143m² Wohnfläche,"Rötelstrasse 6, 8006 Zürich"
CHF 4’290.– / Monat,5 Zimmer 146m² Wohnfläche,"Langstrasse 206, 8005 Zürich"
CHF 2’760.– / Monat,5 Zimmer,"Hirzenbachstrasse 82, 8051 Zürich"
CHF 4’380.– / Monat,4.5 Zimmer 125m² Wohnfläche,"Englischviertelstrasse 47, 8032 Zürich"
CHF 17’400.– / Monat,7.5 Zimmer 550m² Wohnfläche,"Bäckerstrasse 40, 8004 Zürich"
CHF 1’980.– / Monat,2 Zimmer 52m² Wohnfläche,"Jakob Füglistrasse 16, 8048 Zürich"
CHF 5’440.– / Monat,6.5 Zimmer 145m² Wohnfläche,"Bucheggstrasse 21, 8037 Zürich"
CHF 5’600.– / Monat,6.5 Zimmer,"Bellariastrasse 40, 8038 Zürich"
CHF 5’200.– / Monat,7.5 Zimmer 140m² Wohnfläche,"Heidwiesen 19, 8051 Zürich"
CHF 3’100.– / Monat,6.5 Zimmer 123m² Wohnfläche,"Altstetterstrasse 288, 8047 Zürich"
CHF 8’250.– / Monat,6.5 Zimmer 210m² Wohnfläche,"Limmatstrasse 260, 8005 Zürich"
CHF 6’100.– / Monat,4.5 Zimmer 137m² Wohnfläche,"Haspelstrasse 5, 8041 Zürich"
CHF 9’070.– / Monat,8 Zimmer 189m² Wohnfläche,"Clausiusstrasse 60, 8006 Zürich"
CHF 9’300.– / Monat,8 Zimmer 150m² Wohnfläche,"Clausiusstrasse 60, 8006 Zürich"
CHF 5’350.– / Monat,10.5 Zimmer,"Frohalpstrasse 53, 8038 Zürich"
CHF 4’720.– / Monat,6.5 Zimmer 169m² Wohnfläche,"Riedenhaldenstrasse 33, 8046 Zürich"
CHF 5’280.– / Monat,6.5 Zimmer 139m² Wohnfläche,"Forchstrasse 284, 8008 Zürich"
CHF 6’370.– / Monat,6.5 Zimmer 140m² Wohnfläche,"Schaffhauserstrasse 486, 8052 Zürich"
