"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2023","11,406.29","11,413.75","11,436.79","11,368.81","53.57M","0.00%"
"01/23/2023","11,406.27","11,319.58","11,406.90","11,290.90","43.97M","0.98%"
"01/20/2023","11,295.02","11,294.72","11,320.38","11,274.43","45.43M","0.32%"
"01/19/2023","11,258.97","11,314.21","11,372.58","11,258.97","65.19M","-0.95%"
"01/18/2023","11,366.62","11,381.20","11,423.07","11,352.88","53.38M","-0.31%"
"01/17/2023","11,401.99","11,417.53","11,453.64","11,376.31","44.16M","-0.30%"
"01/16/2023","11,435.99","11,318.52","11,435.99","11,307.97","39.91M","1.29%"
"01/13/2023","11,290.79","11,307.41","11,342.60","11,251.26","49.35M","0.03%"
"01/12/2023","11,287.82","11,304.08","11,328.80","11,247.96","56.22M","0.37%"
"01/11/2023","11,246.01","11,174.08","11,306.31","11,124.92","60.81M","0.75%"
"01/10/2023","11,162.15","11,123.58","11,180.51","11,108.18","38.96M","-0.45%"
"01/09/2023","11,212.57","11,171.42","11,234.13","11,152.04","50.37M","0.61%"
"01/06/2023","11,144.54","11,068.62","11,147.87","11,048.14","34.82M","0.79%"
"01/05/2023","11,057.39","11,093.61","11,112.50","11,048.09","44.81M","-0.74%"
"01/04/2023","11,140.27","11,020.74","11,140.27","11,015.91","51.91M","1.47%"
"01/03/2023","10,978.64","10,853.91","11,004.46","10,822.76","53.48M","2.32%"
"12/30/2022","10,729.40","10,809.16","10,830.36","10,729.40","32.55M","-1.18%"
"12/29/2022","10,857.35","10,744.02","10,869.90","10,737.90","25.22M","0.41%"
"12/28/2022","10,812.67","10,825.66","10,854.90","10,803.10","27.53M","-0.24%"
"12/27/2022","10,839.22","10,834.14","10,876.38","10,817.48","21.24M","0.32%"
"12/23/2022","10,804.68","10,804.30","10,843.73","10,761.29","29.38M","0.28%"
"12/22/2022","10,774.64","10,850.66","10,890.43","10,760.44","34.75M","-0.65%"
"12/21/2022","10,845.59","10,699.07","10,845.59","10,690.97","37.10M","1.75%"
"12/20/2022","10,659.19","10,696.58","10,728.77","10,659.19","50.58M","-1.06%"
"12/19/2022","10,773.23","10,790.24","10,837.94","10,760.27","43.02M","0.03%"
"12/16/2022","10,770.38","10,895.40","10,913.65","10,746.37","118.07M","-1.01%"
"12/15/2022","10,880.14","11,093.14","11,093.14","10,880.14","63.34M","-2.51%"
"12/14/2022","11,160.69","11,110.09","11,175.45","11,079.52","55.33M","0.22%"
"12/13/2022","11,136.62","11,070.62","11,223.47","11,014.16","53.41M","0.93%"
"12/12/2022","11,033.64","11,037.36","11,050.30","10,989.77","46.64M","-0.31%"
"12/09/2022","11,068.30","11,010.70","11,101.33","10,980.80","68.18M","0.58%"
"12/08/2022","11,004.53","11,022.16","11,035.96","10,940.27","44.41M","-0.05%"
"12/07/2022","11,009.95","11,062.09","11,077.77","11,000.64","45.71M","-0.89%"
"12/06/2022","11,109.33","11,185.68","11,208.11","11,085.28","106.88M","-0.76%"
"12/05/2022","11,194.67","11,196.47","11,239.76","11,170.93","107.45M","-0.03%"
"12/02/2022","11,198.13","11,206.53","11,234.25","11,122.68","113.72M","-0.36%"
"12/01/2022","11,238.20","11,215.50","11,283.87","11,207.56","95.24M","0.99%"
"11/30/2022","11,127.77","11,143.07","11,204.88","11,127.77","122.26M","0.45%"
"11/29/2022","11,077.81","11,160.09","11,176.97","11,071.56","90.09M","-0.76%"
"11/28/2022","11,162.16","11,147.67","11,199.19","11,115.37","78.93M","-0.05%"
"11/25/2022","11,168.03","11,166.33","11,188.29","11,140.38","67.76M","0.09%"
"11/24/2022","11,157.56","11,088.62","11,175.27","11,085.38","37.17M","0.57%"
"11/23/2022","11,094.46","11,077.54","11,104.13","11,066.04","48.21M","0.18%"
"11/22/2022","11,074.30","11,074.93","11,104.84","11,046.82","29.67M","-0.10%"
"11/21/2022","11,085.04","11,022.75","11,101.92","11,019.98","34.49M","0.36%"
"11/18/2022","11,045.49","10,991.63","11,063.88","10,949.42","44.29M","1.17%"
"11/17/2022","10,917.88","10,962.28","10,993.11","10,838.80","32.55M","-0.17%"
"11/16/2022","10,936.62","11,022.35","11,022.35","10,922.45","36.69M","-0.81%"
"11/15/2022","11,026.22","11,008.89","11,087.42","10,991.74","40.18M","0.24%"
"11/14/2022","10,999.59","11,116.31","11,129.50","10,993.10","42.00M","-1.15%"
"11/11/2022","11,127.15","11,091.16","11,252.16","11,087.91","68.83M","0.06%"
