date,open,high,low,close,volume,currency
2019-05-23,387.6,426.75,387.13,406.11,164446655.6,Bitcoin Cash
2019-05-24,406.11,437.24,404.94,409.18,151017294.56,Bitcoin Cash
2019-05-25,409.18,435.92,402.47,405.86,103505067.18,Bitcoin Cash
2019-05-26,405.86,479.59,426.01,434.13,161315523.49,Bitcoin Cash
2019-05-27,434.13,472.38,428.72,441.45,162315078.14,Bitcoin Cash
2019-05-28,441.45,476.31,429.58,433.24,113409361.5,Bitcoin Cash
2019-05-29,433.24,511.56,427.86,511.04,156767493.09,Bitcoin Cash
2019-05-30,456.69,482.51,402.17,421.86,107290244.36,Bitcoin Cash
2019-05-31,421.59,495.17,433.18,443.44,105043023.27,Bitcoin Cash
2019-06-01,443.44,514.12,430.02,432.5,75222821.89,Bitcoin Cash
2019-06-02,432.5,544.11,440.04,442.66,87818440.78,Bitcoin Cash
2019-06-03,441.57,447.05,395.1,401.39,58104669.93,Bitcoin Cash
2019-06-04,401.39,401.68,363.73,382.94,72087631.84,Bitcoin Cash
2019-06-05,382.65,471.37,384.73,397.2,211377658.68,Bitcoin Cash
2019-06-06,397.2,480.07,384.59,397.39,127128288.75,Bitcoin Cash
2019-06-07,397.39,511.13,398.13,399.81,91651704.64,Bitcoin Cash
2019-06-08,399.81,479.52,392.33,393.83,79027107.95,Bitcoin Cash
2019-06-09,393.83,473.51,374.15,380.49,66518488.36,Bitcoin Cash
2019-06-10,380.49,502.52,393.43,395.03,77981341.09,Bitcoin Cash
2019-06-11,395.03,495.78,387.39,388.5,67048784.89,Bitcoin Cash
2019-06-12,388.5,493.55,392.6,397.75,78339304.11,Bitcoin Cash
2019-06-13,397.75,499.32,399.59,412.52,140173798.48,Bitcoin Cash
2019-06-14,412.52,515.29,416.53,422.09,100566936.46,Bitcoin Cash
2019-06-15,422.09,513.68,420.46,423.47,87266374.38,Bitcoin Cash
2019-06-16,423.47,512.8,419.78,427.95,113790035.98,Bitcoin Cash
2019-06-17,427.95,544.01,430.58,431.88,82251954.42,Bitcoin Cash
2019-06-18,431.88,493.86,405.68,413.94,111620932.07,Bitcoin Cash
2019-06-19,413.94,516.46,414.28,416.42,79283481.27,Bitcoin Cash
2019-06-20,416.42,498.59,411.04,413.14,125100452.37,Bitcoin Cash
2019-06-21,413.14,462.61,442.27,442.37,129976915.74,Bitcoin Cash
2019-06-22,442.37,528.06,434.96,481.03,278698346.96,Bitcoin Cash
2019-06-23,481.03,501.33,474.73,475.93,156683670.56,Bitcoin Cash
2019-06-24,475.93,487.45,470.78,478.29,113191944.55,Bitcoin Cash
2019-06-25,478.29,509.3,476.19,476.78,127136471.55,Bitcoin Cash
2019-06-26,476.78,527.38,454.68,481.28,243108145.24,Bitcoin Cash
2019-06-27,481.28,426.98,395.64,411.92,226456725.48,Bitcoin Cash
2019-06-28,411.92,475.92,432.06,434.53,220627567.94,Bitcoin Cash
2019-06-29,434.53,441.97,415.59,441.02,183251537.4,Bitcoin Cash
2019-06-30,441.02,402.98,390.7,400.29,143032143.98,Bitcoin Cash
2019-07-01,400.29,421.98,390.95,417.0,165991772.52,Bitcoin Cash
2019-07-02,417.0,436.58,401.78,408.5,145666481.22,Bitcoin Cash
2019-07-03,408.5,451.35,421.75,422.59,167416537.13,Bitcoin Cash
2019-07-04,422.59,405.32,387.91,399.85,154571185.07,Bitcoin Cash
2019-07-05,399.85,403.23,389.05,400.48,160469760.77,Bitcoin Cash
2019-07-06,400.48,410.47,395.06,406.65,118919229.95,Bitcoin Cash
2019-07-07,406.65,416.17,406.53,412.62,100033016.46,Bitcoin Cash
2019-07-08,412.62,442.42,417.09,418.32,95386323.05,Bitcoin Cash
2019-07-09,418.32,429.67,414.33,415.47,148557286.71,Bitcoin Cash
2019-07-10,415.47,400.72,375.68,389.23,142268045.11,Bitcoin Cash
2019-07-11,388.88,389.19,314.86,345.5,93957767.67,Bitcoin Cash
2019-07-12,345.5,361.33,337.06,352.93,65443003.36,Bitcoin Cash
2019-07-13,353.57,351.15,336.49,343.53,127111273.55,Bitcoin Cash
2019-07-14,344.53,345.83,275.17,281.76,77101201.37,Bitcoin Cash
2019-07-15,281.76,325.33,255.26,313.01,91864491.81,Bitcoin Cash
2019-07-16,313.01,317.46,266.88,282.28,101758918.39,Bitcoin Cash
2019-07-17,282.28,308.51,273.67,292.19,95838792.36,Bitcoin Cash
2019-07-18,292.19,322.0,284.36,314.47,69799321.15,Bitcoin Cash
2019-07-19,314.47,315.39,295.51,307.86,50081406.36,Bitcoin Cash
2019-07-20,308.09,345.59,314.5,324.83,151417145.16,Bitcoin Cash
2019-07-21,324.83,327.87,317.39,320.88,132460990.68,Bitcoin Cash
2019-07-22,320.88,314.73,306.78,309.88,123321055.32,Bitcoin Cash
2019-07-23,309.88,302.13,291.49,297.69,129637271.19,Bitcoin Cash
2019-07-24,297.58,308.04,282.7,302.63,60370396.94,Bitcoin Cash
